Metadaten,INVNR,OBJEKT,BEZEICHNUNG,INHALT_DARGESTELLT,MATERIAL,TECHNIK,MASZE,Thema,AUFSCHRIFT_MERKMALE,SP,Th,B,S,Rac,Dmpf,L,Mich,Raf,HK,DC,Rf,T,publiziert_in_Publikation,vorgesehen_zur_Publikation,REFERENT_Eigenschaft_1,REFERENT_Typ_1,QUELLE_Beziehung_REFERENT_1,REFERENT_Zeit_1,REFERENT_Ort_1,REFERENT_Bezeichnung_1,REFERENT_Eigenschaft_2,REFERENT_Typ_2,QUELLE_Beziehung_REFERENT_2,REFERENT_Zeit_2,REFERENT_Ort_2,REFERENT_Bezeichnung_2,REFERENT_Eigenschaft_3,REFERENT_Typ_3,QUELLE_Beziehung_REFERENT_3,REFERENT_Zeit_3,REFERENT_Ort_3,REFERENT_Bezeichnung_3,REFERENT_Eigenschaft_4,REFERENT_Typ_4,QUELLE_Beziehung_REFERENT_4,REFERENT_Zeit_4,REFRENT_Ort_4,REFERENT_Bezeichnung_4,REFERENT_Eigenschaft_5,REFERENT_Typ_5,QUELLE_Beziehung_REFERENT_5,REFERENT_Zeit_5,REFERENT_Ort_5,REFERENT_Bezeichnung_5,REFERENT_Eigenschaft_6,REFERENT_Typ_6,QUELLE_Beziehung_REFERENT_6,REFERENT_Zeit_6,REFERENT_Ort_6,REFERENT_Bezeichnung_6,REFERENT_Eigenschaft_7,REFERENT_Typ_7,QUELLE_Beziehung_REFERENT_7,REFERENT_Zeit_7,REFERENT_Ort_7,REFERENT_Bezeichnung_7,REFERENT_Eigenschaft_8,REFERENT_Typ_8,QUELLE_Beziehung_REFERENT_8,REFERENT_Zeit_8,REFERENT_Ort_8,REFERENT_Bezeichnung_8,REFERENT_Eigenschaft_9,REFERENT_Typ_9,QUELLE_Beziehung_REFERENT_9,REFERENT_Zeit_9,REFERENT_Ort_9,REFERENT_Bezeichnung_9,REFERENT_Eigenschaft_10,REFERENT_Typ_10,QUELLE_Beziehung_REFERENT_10,REFERENT_Zeit_10,REFERENT_Ort_10,REFERENT_Bezeichnung_10,REFERENT_Eigenschaft_11,REFERENT_Typ_11,QUELLE_Beziehung_REFERENT_11,REFERENT_Zeit_11,REFERENT_Ort_11,REFERENT_Bezeichnung_11,,,,,,,AUDIO Text,,,,,
577,III.2.6.a,Blatt aus Skizzenbuch,Blatt: o. Aufschrift | Bibliographie A | Bibliographie. Italie [...] (Bibl. Destailleur),Text,1 Blatt,Bleistift (grau),115 x 205 mm,,Abrisskante links,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,zitierend,NULL,Paris,Bibliothek von Destailleur; Hippolyte A.,materiell,Artefakt,betreffend,NULL,NULL,Dom Florenz (Florenz); Diane Tempel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,III.2.6.a,Blatt aus Skizzenbuch,Blatt: o. Aufschrift | Bibliographie A | Bibliographie. Italie [...] (Bibl. Destailleur),Text; Abbildung,1 Blatt,Bleistift (grau),115 x 205 mm,,Abrisskante links,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Organisation,zitierend,NULL,Paris,Bibliothek von Destailleur; Hippolyte A.,materiell,Person,betreffend,NULL,NULL,Andrea Paladio,materiell,Person,betreffend,1554,Rom,Vincenzo Lucrino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,III.2.6.a,Blatt,Blatt: o. Aufschrift | Bibliographie A,Text,1 Blatt,Schreibfeder,68 x 105 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Publikation,betreffend,NULL,NULL,Dehio; Georg: Die Bauprojecte Nicolaus des Fünften und L. B. Alberti; In: Repertorium für Kunstwissenschaft (Bd.3/1880); Stuttgart/Wien 1880; p. 241-258.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,III.2.6.a,Blatt,Blatt: o. Aufschrift | Bibliographie A,Text,1 Blatt,Bleistift (grau),68 x 105 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Publikation,betreffend,NULL,NULL,Treves; Vittorio: Architettura comacina; Torino 1888.,materiell,Personen,betreffend,NULL,NULL,Camille; Bertolin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,III.2.6.a,Blatt,Blatt: o. Aufschrift | Bibliographie A,Text,1 Blatt,Bleistift (grau),66 x 104 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Publikation,betreffend,NULL,NULL,Ravioli; Camillo: Notizie sui lavori di architettura militare sugli scritti o disegni editi ed inediti dei nove Da Sangallo cavate la piu parte da documenti inediti; onde servire alla Storia dell'arte militare italiana dei secoli 14. e 15. - fasc. 1. / per opera e cura del cav. Camillo Ravioli; Tipografia delle Belle Arti: Roma 1863.,materiell,Publikation,betreffend,NULL,NULL,Il Buonarotti [Giornale]; Serie III; Vol. 2; Quaderno XI. [?],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,III.2.6.a,Blatt,Blatt: o. Aufschrift | Bibliographie A,Text,1 Blatt,Bleistift (grau),110 x 170 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Publikation,betreffend,NULL,NULL, Vöge; Wilhelm: Die Anfänge des monumentalen Stiles im Mittelalter. Eine Untersuchung über die erste Blütezeit französischer Plastik; J. H. Ed. Heitz: Strassburg 1894.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,III.2.6.a,Blatt aus Skizzenbuch,Blatt: o. Aufschrift | Bibliographie A,Text,1 Blatt; 2 Seiten,Schreibfeder; Bleistift (blau),104 x 205 mm,,Vorderseite/Rückseite; Abrisskante links,,,,x,,,,,,,,,,,,materiell,Person,verfasst,00.12.1893,Basel,Heinrich von Geymüller,immateriell,Handlung,betreffend,1781,L'Angle; Neuchatel,Reise nach Spanien,materiell,Organisation,betreffend,1894,Paris; 27 Rue Saint-Augustin (Administration),Pratique del Enseignement des Beaux-Arts (Revue [monatlich]) ,materiell,Personen,betreffend,NULL,NULL,Karl Robert; A. Keller; G. Morel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,III.2.6.a,Blatt aus Skizzenbuch,Blatt: o. Aufschrift | Bibliographie A,Text; Abbildung,1 Blatt; 2 Seiten,Schreibfeder; Bleistift (grau),121 x 202 mm,,Vorderseite/Rückseite; Abrisskante links,,,,x,,,,,,,,,,,,materiell,Person,verfasst,1894,Paris; 26 Rue Chaptal,Heinrich von Geymüller,materiell,Artefakt,wiedergebend,1894,Paris; 26 Rue Chaptal,"Projektor (""La Projectorama"")",materiell,Artefakt,betreffend,1894,Paris; 26 Rue Chaptal,"Projektor (""La Projectorama"") (zum Zeichnen und Malen in natürlicher Art) (Design 33 x 33 [?]) (Preis 65 fr)",immateriell,Technologie,wiedergebend,NULL,NULL,Projektion (zum Zeichnen und Malen in natürlicher Art),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,III.2.6.a,Blatt,Blatt: o. Aufschrift | Bibliographie A,Text,1 Blatt,Schreibfeder,68 x 105 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Publikation,betreffend,NULL,NULL,Saint Francois d'Assise. [A ete publie] par les soins des Arsene de Chatel; Louis-Antoine de Forrentruy et de M. l'abbe Brin (1. Vie de Saint Francois. 2. Saint Francois apres sa mort. E. Plon; Nourrit: Paris 1885.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,III.2.6.a,Blatt,Blatt: o. Aufschrift | Bibliographie A,Text,1 Blatt,Bleistift (grau),68 x 105 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Publikation,betreffend,NULL,NULL,Parker; John Henry: A glossary of terms used in Grecian; Roman; Italian; and Gothic architecture [1838]; Parker&Co: London 1882.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,III.2.6.a,Blatt aus Skizzenbuch,Blatt: o. Aufschrift | Bibliographie A,Text,1 Blatt,Bleistift (grau),108 x 190 mm,,Abrisskante links,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Publikation,betreffend,NULL,NULL,Bode; Willhelm von: Die italienische Plastik; In: Handbuch der Königlichen Museen zu Berlin; W. Spemann: Berlin 1891.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,III.2.6.a,Blatt,Blatt: o. Aufschrift | Bibliographie A,Text,1 Blatt,Bleistift (grau),107 x 170 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Publikation,betreffend,NULL,NULL,Monatsschrift für Gottesdienst und kirchliche Kunst (6.Jg./1901); Vandenhoek&Ruprecht: Göttingen 1901.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,III.2.6.a,Zeitungsausschnitt,Zeitungsausschnitt: o. Aufschrift | Bibliographie A,Text; Beschriftung,1 Blatt; 2 Seiten,Druck; Bleistift (blau),190 x 280 mm,,gefalten; Vorderseite/Rückseite,,,,x,,,,,,,,,,,,materiell,Organisation,verfasst,30.07.1892,Paris; 16 Rue du Croissant, Gazette des Beaux-Arts,materiell,Publikation,betreffend,30.07.1892,La Chronique des arts et de la curiosité (Supplément à la Gazette des Beaux-Arts); p. 215.,Mérgret; M. Ad.: Étude sur les Canons de Polyclète (Studie über den Kanon Polycletus),materiell,Publikation,betreffend,30.07.1892, Gazette des Beaux-Arts; p. 215.,Massillon Rouvet; Jean Baptiste: Viollet-le-Duc et Alphand au siège de Paris; Librairies-imprimeries réunies: Paris 1892.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,III.2.6.a,Zeitungsausschnitt,Zeitungsausschnitt: o. Aufschrift | Bibliographie A,Text; Beschriftung,1 Blatt; 2 Seiten,Druck; Bleistift (blau); Schreibfeder,181 x 284 mm,,gefalten; fragmentiert; Vorderseite/Rückseite,,,,x,,,,,,,,,,,,materiell,Organisation,verfasst,27.03.1897,Paris; 16 Rue du Croissant, Gazette des Beaux-Arts,materiell,Publikation,betreffend,27.03.1897,La Chronique des arts et de la curiosité (Supplément à la Gazette des Beaux-Arts); p. 123., Dehaisnes; Chrétien César Auguste: Documents et extraits divers concernant l'histoire de l'art dans la Flandre; l'Artois & le Hainaut avant le XVe siècle (3 vol. in-4°/1886); Impr. L. Danel: Lille 1886.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,III.2.6.a,Blatt,Blatt: o. Aufschrift | Bibliographie A,Text,1 Blatt,Schreibfeder,68 x 104 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Publikation,betreffend,NULL,NULL,Holtzinger; Heinrich (Hrsg.):Federigo di Montefeltro; duca di Urbino : cronaca. La vita e le gesta di Federico di Montefeltro; duca d'Urbino (a cura di Santi; Giovanni); Kohlhammer: Stuttgart 1893.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,III.2.6.a,Blatt,Blatt: o. Aufschrift | Bibliographie A,Text,1 Blatt,Bleistift (grau),68 x 104 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Publikation,betreffend,NULL,NULL,"Weese; Artur: Baldassare Peruzzis Anteil an dem malerischen Schmucke der Villa Farnesina; nebst einem Anhange: ""Il taccuino di Baldassare Peruzzi"" in der Communalbibliothek zu Siena; K.W. Hiersemann: Leipzig 1894.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,III.2.6.a,Blatt,Blatt: o. Aufschrift | Bibliographie A,Text,1 Blatt,Bleistift (grau),68 x 104 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Personen,betreffend,NULL,NULL,Ernst Wilhlem von Brücke; Hermann von Helmholtz,immateriell,Forschungsthema,betreffend,NULL,NULL,Architektur; Naturwissenschaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,III.2.6.a,Blatt,Blatt: o. Aufschrift | Bibliographie A,Text; Beschriftung,1 Blatt; 2 Seiten,Druck; Bleistift (grau); Bleistift (blau),160 x 247 mm,,gefalten; Vorerseite/Rückseite,,,,x,,,,,,,,,,,,materiell,Organisation,verfasst,00.03.1897,Paris; 117 Boulevard Saint-Germain,Cercle de la Librairie (Hg.): Bulletin Bibliographique de la Librairie Française (N°1/1897); Paris 1897.,materiell,Publikation,betreffend,00.03.1897,Cercle de la Librairie (Hg.): Bulletin Bibliographique de la Librairie Française (N°1/1897); Paris 1897; p. 10.,Larroumet; Gustave: Petits portraits et notes d'art (vol. 1 in-16°); Paris 1897.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,III.2.6.a,Blatt,Blatt: o. Aufschrift | Bibliographie A,Text; Beschriftung,1 Blatt; 2 Seiten,Druck; Bleistift (blau),160 x 247 mm,,gefalten; Vorerseite/Rückseite,,,,x,,,,,,,,,,,,materiell,Organisation,verfasst,00.03.1897,Paris; 117 Boulevard Saint-Germain,Cercle de la Librairie (Hg.): Bulletin Bibliographique de la Librairie Française (N°1/1897); Paris 1897.,materiell,Publikation,betreffend,00.03.1897,Cercle de la Librairie (Hg.): Bulletin Bibliographique de la Librairie Française (N°1/1897); Paris 1897; p. 2.,Havard; Henry: Les Arts de l'ameublement. Les Bronzes d'art - les Styles - l'Ébénisterie (3 Vol. in-8°); Charles Delagrave: Paris 1891-1897.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,III.2.6.a,Blatt,Blatt: o. Aufschrift | Bibliographie A,Text,1 Blatt,Bleistift (grau); Schreibfeder,107 x 169 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Person,betreffend,1898,NULL,Émile Molinier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,III.2.6.a,Blatt,Blatt: o. Aufschrift | Bibliographie A,Text,1 Blatt,Schreibfeder,107 x 169 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Publikation,betreffend,NULL,NULL,Rey; Jules u. Remy Emile: Le General Baron Bourgeat; 1760-1827; Alexandre Gratier: Grenoble 1898.,materiell,Publikation,betreffend,NULL,NULL,Remy; Emile: Le Palais de Justice de Grnoble. Collection le dauphiné artistique; Alexandre Gratier: Grenoble 1898.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,III.2.6.a,Blatt,Blatt: o. Aufschrift | Bibliographie A,Text,1 Blatt,Schreibfeder,107 x 169 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Publikation,betreffend,NULL,NULL,Waddington; A.: La Républiques des Provinces Unies; la France et les Pays-Bas espagnols; de 1630-1650 (Annales del'Université de Lyen; 2 Vol.) ; G. Masson: Paris 1898.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,III.2.6.a,Zeitungsausschnitt,Zeitungsausschnitt: o. Aufschrift | Bibliographie A,Text; Beschriftung,1 Blatt; 2 Seiten,Druck; Bleistift (grau); Bleistift (blau),190 x 280 mm,,gefalten; Vorderseite/Rückseite,,,,x,,,,,,,,,,,,materiell,Organisation,verfasst,1897,Paris; 16 Rue du Croissant, Gazette des Beaux-Arts,materiell,Publikation,betreffend,1897,La Chronique des arts et de la curiosité (Supplément à la Gazette des Beaux-Arts); p. 164.,Meyer; Alfred Gotthold (Schmarsow; August): La première Renaissance dans la Haut-Italie; In: Zeitschrift für bildende Kunst (1897).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,III.2.6.a,Zeitungsausschnitt,Zeitungsausschnitt: o. Aufschrift | Bibliographie A,Text; Beschriftung,1 Blatt; 2 Seiten,Druck; Bleistift (grau); Bleistift (blau),190 x 280 mm,,gefalten; Vorderseite/Rückseite; fragmentiert,,,,x,,,,,,,,,,,,materiell,Organisation,verfasst,05.03.1898,Paris; 16 Rue du Croissant, Gazette des Beaux-Arts,materiell,Publikation,betreffend,05.03.1898,La Chronique des arts et de la curiosité (Supplément à la Gazette des Beaux-Arts); p. 88.,Pillard-Verneuil; Maurice: Dictionnaire des symboles; emblèmes et attributs (in-8° carré; VII-193); H. Laurens: Paris 1898.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,III.2.6.a,Zeitungsausschnitt,Zeitungsausschnitt: o. Aufschrift | Bibliographie A,Text,1 Blatt; 2 Seiten,Druck,190 x 280 mm,,gefalten; Vorderseite/Rückseite; fragmentiert,,,,x,,,,,,,,,,,,materiell,Organisation,verfasst,NULL,Paris; 16 Rue du Croissant, Gazette des Beaux-Arts,materiell,Publikation,betreffend,NULL,La Chronique des arts et de la curiosité (Supplément à la Gazette des Beaux-Arts); p. 253.,Nolhac; Pierre de: Le Chateau de Versailles sous Louis XV. Recherches sur l'historie de la Cour et sur les travaux des Batiments de Roi; H. Campion: Paris 1898.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,III.2.6.a,Blatt,Blatt: o. Aufschrift | Bibliographie A,Text,1 Blatt,Bleistift (grau); Schreibfeder,109 x 170 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Person,betreffend,NULL,NULL,Émile Gebhart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,III.2.6.a,Blatt,Blatt: o. Aufschrift | Bibliographie A,Text,1 Blatt,Bleistift (grau),69 x 100 mm,,,,,,x,,,,,,,,,,,,materiell,Person,verfasst,NULL,NULL,Heinrich von Geymüller,materiell,Publikation,betreffend,NULL,NULL,Venturi; Adolfo: Storia dell'Arte Italiana; U. Hoepli: Milano 1901.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,III.2.6.b,Fotografie,Fotografie: o. Aufschrift | Villa Salviati | Beccari,Abbildung,1 Blatt Fotopapier,Belichtung,119 x 19 mm,,,,,,,,,,,,,,,x,,,materiell,Person,verfasst,NULL,Firenze; Via Bolognese 156,Heinrich von Geymüller,materiell,Artefakt,abbildend,NULL,Firenze; Via Bolognese 156,Villa Salviati (Florenz); Fassade (west),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,III.2.6.b,Fotografie,Fotografie: o. Aufschrift | Villa Salviati | Beccari,Abbildung,1 Blatt Fotopapier,Belichtung,119 x 19 mm,,,,,,,,,,,,,,,x,,,materiell,Person,verfasst,NULL,Firenze; Via Bolognese 156,Heinrich von Geymüller,materiell,Artefakt,abbildend,NULL,Firenze; Via Bolognese 156,Villa Salviati (Florenz); Fassade (west),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,III.2.6.b,Fotografie,Fotografie: o. Aufschrift | Villa Salviati | Beccari,Abbildung,1 Blatt Fotopapier,Belichtung,119 x 19 mm,,,,,,,,,,,,,,,x,,,materiell,Person,verfasst,NULL,Firenze; Via Bolognese 156,Heinrich von Geymüller,materiell,Artefakt,abbildend,NULL,Firenze; Via Bolognese 156,Villa Salviati (Florenz); Fassade (süd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,III.2.6.b,Fotografie,Fotografie: o. Aufschrift | Villa Salviati | Beccari,Abbildung,1 Blatt Fotopapier,Belichtung,119 x 19 mm,,,,,,,,,,,,,,,x,,,materiell,Person,verfasst,NULL,Firenze; Via Bolognese 156,Heinrich von Geymüller,materiell,natürliches Objekt,abbildend,NULL,Firenze; Via Bolognese 156,Panorama (Richtung Osten),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,III.2.6.b,Fotografie,Fotografie: o. Aufschrift | Villa Salviati | Beccari,Abbildung,1 Blatt Fotopapier,Belichtung,119 x 19 mm,,,,,,,,,,,,,,,x,,,materiell,Person,verfasst,NULL,Firenze; Via Bolognese 156,Heinrich von Geymüller,materiell,Artefakt,abbildend,NULL,Firenze; Via Bolognese 156,Villa Salviati (Florenz); Fassade (west),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,III.2.6.b,Fotografie,Fotografie: o. Aufschrift | Villa Salviati | Beccari,Abbildung,1 Blatt Fotopapier,Belichtung,119 x 19 mm,,,,,,,,,,,,,,,x,,,materiell,Person,verfasst,NULL,Firenze; Via Bolognese 156,Heinrich von Geymüller,materiell,Artefakt,abbildend,NULL,Firenze; Via Bolognese 156,Villa Salviati (Florenz); Fassade (west),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,III.2.6.b,Fotografie,Fotografie: o. Aufschrift | Villa Salviati | Beccari,Abbildung,1 Blatt Fotopapier,Belichtung,88 x 87 mm,,,,,,,,,,,,,,,x,,,materiell,Person,verfasst,NULL,Firenze; Via Bolognese 156,Heinrich von Geymüller,materiell,natürliches Objekt,abbildend,NULL,Firenze; Via Bolognese 156,Panorama (Richtung Osten),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,III.2.6.b,Fotografie,Fotografie: o. Aufschrift | Villa Salviati | Beccari,Abbildung,1 Blatt Fotopapier,Belichtung,119 x 19 mm,,,,,,,,,,,,,,,x,,,materiell,Person,verfasst,NULL,Firenze; Via Bolognese 156,Heinrich von Geymüller,materiell,Artefakt,abbildend,NULL,Firenze; Via Bolognese 156,Villa Salviati (Florenz); Fassade (west),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,III.2.6.b,Fotografie,Fotografie: o. Aufschrift | Villa Salviati | Beccari,Abbildung,1 Blatt Fotopapier,Belichtung,119 x 19 mm,,,,,,,,,,,,,,,x,,,materiell,Person,verfasst,NULL,Firenze; Via Bolognese 156,Heinrich von Geymüller,materiell,Artefakt,abbildend,NULL,Firenze; Via Bolognese 156,Villa Salviati (Florenz); Innenhof; Säule; Kapitell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,III.2.6.c,Blatt,"Blatt: o. Aufschrift | Settignano ""La Gamberaia""",Abbildungen; Text,1 Blatt,Bleistift (grau),103 x 154 mm,,,,,,,,,,,,,,,x,,,materiell,Person,verfasst,27.05.1898,Firenze; Via del Rossellino 72,Heinrich von Geymüller,materiell,Artefakt,abbildend,27.05.1898,Firenze; Via del Rossellino 72,Villa Gamberaia (Florenz); Fassade (süd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,III.2.6.c,Blatt,"Blatt: o. Aufschrift | Settignano ""La Gamberaia""",Text,1 Blatt,Schreibfeder,110 x 180 mm,,,,,,,,,,,,,,,x,,,materiell,Person,verfasst,NULL,Firenze; Via del Rossellino 72,Heinrich von Geymüller,materiell,Person,betreffend,NULL,Basel,Adelaide [Stähelin-Bucknor] [?],materiell,Artefakt,betreffend,NULL,Firenze; Via del Rossellino 72,Villa Gamberaia (Florenz),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,III.2.6.c,Fotografie,"Fotografie: o. Aufschrift | Settignano ""La Gamberaia""",Abbildung,1 Blatt Fotopapier,Belichtung,111 x 169 mm,,,,,,,,,,,,,,,x,,,materiell,Person,verfasst,NULL,Firenze; Via del Rossellino 72,Heinrich von Geymüller,materiell,Artefakt,abbildend,NULL,Firenze; Via del Rossellino 72,Villa Gamberaia (Florenz) [in Richtung Norden],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,III.2.6.c,Fotografie,"Fotografie: o. Aufschrift | Settignano ""La Gamberaia""",Abbildung,1 Blatt Fotopapier,Belichtung,165 x 117 mm,,,,,,,,,,,,,,,x,,,materiell,Person,verfasst,NULL,Firenze; Via del Rossellino 72,Heinrich von Geymüller,materiell,Artefakt,abbildend,NULL,Firenze; Via del Rossellino 72,Villa Gamberaia (Florenz); Fassade (west),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,III.2.6.c,Fotografie,"Fotografie: o. Aufschrift | Settignano ""La Gamberaia""",Abbildung,1 Blatt Fotopapier,Belichtung,166 x 117 mm,,,,,,,,,,,,,,,x,,,materiell,Person,verfasst,NULL,Firenze; Via del Rossellino 72,Heinrich von Geymüller,materiell,Artefakt,abbildend,NULL,Firenze; Via del Rossellino 72,Villa Gamberaia (Florenz); Ansicht; Fassade (nord; west),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,III.2.6.c,Fotografie,"Fotografie: o. Aufschrift | Settignano ""La Gamberaia""",Abbildung,1 Blatt Fotopapier,Belichtung,166 x 117 mm,,,,,,,,,,,,,,,x,,,materiell,Person,verfasst,NULL,Firenze; Via del Rossellino 72,Heinrich von Geymüller,materiell,Artefakt,abbildend,NULL,Firenze; Via del Rossellino 72,Villa Gamberaia (Florenz); Fassade (süd),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
